iter	Passed	Remaining
0	141	141815
1	144	71951
2	146	48709
3	148	37090
4	151	30113
5	153	25506
6	156	22181
7	158	19688
8	161	17730
9	163	16187
10	165	14915
11	168	13876
12	171	13033
13	174	12269
14	176	11598
15	178	11006
16	181	10484
17	183	10022
18	186	9633
19	189	9264
20	192	8959
21	194	8650
22	196	8363
23	199	8103
24	201	7866
25	204	7646
26	206	7433
27	208	7244
28	210	7061
29	213	6895
30	215	6740
31	218	6599
32	220	6460
33	223	6341
34	225	6213
35	228	6120
36	230	6006
37	232	5897
38	235	5796
39	237	5708
40	240	5623
41	243	5562
42	246	5478
43	248	5400
44	251	5335
45	253	5264
46	256	5196
47	258	5128
48	260	5061
49	263	5006
50	266	4953
51	268	4895
52	270	4837
53	273	4786
54	275	4735
55	277	4685
56	280	4634
57	282	4587
58	284	4542
59	287	4498
60	289	4457
61	291	4416
62	294	4374
63	296	4339
64	299	4303
65	301	4267
66	304	4234
67	306	4202
68	308	4166
69	310	4131
70	313	4099
71	315	4068
72	318	4038
73	320	4011
74	322	3983
75	325	3954
76	329	3946
77	331	3916
78	333	3886
79	335	3858
80	337	3827
81	339	3795
82	341	3770
83	343	3745
84	345	3722
85	347	3698
86	350	3675
87	351	3646
88	353	3621
89	355	3593
90	357	3566
91	358	3539
92	360	3512
93	361	3483
94	363	3461
95	365	3445
96	368	3428
97	370	3410
98	372	3394
99	375	3380
100	378	3365
101	380	3349
102	383	3336
103	385	3323
104	388	3308
105	390	3295
106	392	3279
107	395	3265
108	397	3251
109	399	3236
110	402	3222
111	404	3210
112	407	3196
113	409	3186
114	412	3173
115	415	3163
116	417	3151
117	420	3143
118	423	3132
119	424	3115
120	427	3103
121	430	3097
122	432	3087
123	435	3075
124	437	3064
125	440	3053
126	442	3042
127	445	3032
128	447	3021
129	450	3012
130	452	2999
131	454	2989
132	457	2979
133	459	2970
134	461	2959
135	464	2949
136	466	2940
137	469	2931
138	471	2922
139	474	2913
140	476	2905
141	479	2897
142	482	2889
143	485	2886
144	488	2880
145	490	2870
146	493	2865
147	496	2858
148	499	2852
149	501	2844
150	504	2834
151	506	2823
152	507	2812
153	509	2799
154	511	2786
155	512	2774
156	514	2762
157	516	2750
158	517	2736
159	518	2723
160	520	2710
161	522	2700
162	523	2688
163	524	2674
164	525	2660
165	526	2646
166	527	2632
167	529	2620
168	530	2607
169	532	2601
170	535	2594
171	537	2588
172	540	2581
173	542	2577
174	545	2569
175	547	2562
176	549	2556
177	552	2550
178	553	2538
179	555	2531
180	556	2518
181	558	2512
182	561	2506
183	563	2500
184	566	2494
185	568	2488
186	571	2484
187	573	2478
188	576	2473
189	578	2467
190	581	2461
191	583	2456
192	585	2449
193	588	2443
194	590	2438
195	593	2432
196	595	2427
197	597	2422
198	600	2416
199	602	2411
200	605	2405
201	607	2400
202	610	2395
203	612	2390
204	615	2385
205	617	2380
206	619	2374
207	622	2369
208	624	2364
209	627	2359
210	629	2354
211	632	2349
212	634	2344
213	637	2340
214	639	2334
215	642	2333
216	644	2325
217	646	2320
218	649	2315
219	651	2311
220	654	2305
221	656	2301
222	659	2296
223	660	2289
224	662	2283
225	666	2283
226	668	2275
227	669	2268
228	671	2260
229	672	2250
230	674	2245
231	676	2240
232	679	2235
233	681	2232
234	684	2227
235	686	2222
236	688	2216
237	690	2209
238	691	2201
239	692	2193
240	694	2186
241	695	2179
242	697	2171
243	698	2163
244	700	2157
245	701	2149
246	703	2145
247	706	2141
248	708	2137
249	711	2133
250	712	2126
251	715	2122
252	717	2118
253	718	2111
254	721	2107
255	723	2102
256	724	2095
257	727	2091
258	729	2087
259	732	2083
260	734	2079
261	737	2076
262	739	2071
263	741	2067
264	744	2064
265	746	2060
266	749	2056
267	752	2053
268	754	2049
269	756	2046
270	759	2042
271	761	2038
272	764	2034
273	766	2031
274	768	2027
275	771	2024
276	774	2020
277	776	2016
278	778	2012
279	781	2008
280	783	2005
281	786	2001
282	788	1997
283	790	1993
284	793	1990
285	795	1986
286	799	1985
287	801	1981
288	802	1975
289	804	1969
290	806	1963
291	807	1958
292	809	1953
293	811	1948
294	813	1943
295	815	1939
296	817	1933
297	818	1928
298	820	1922
299	821	1917
300	823	1911
301	824	1906
302	826	1900
303	828	1897
304	830	1891
305	832	1889
306	835	1886
307	839	1886
308	841	1881
309	843	1877
310	845	1872
311	847	1869
312	850	1867
313	853	1865
314	856	1862
315	859	1860
316	862	1858
317	864	1854
318	866	1850
319	869	1847
320	870	1842
321	873	1839
322	876	1836
323	877	1831
324	880	1828
325	881	1823
326	883	1818
327	885	1813
328	887	1809
329	889	1805
330	890	1800
331	891	1794
332	892	1788
333	894	1782
334	896	1780
335	899	1778
336	902	1775
337	905	1773
338	908	1771
339	911	1769
340	914	1766
341	917	1765
342	919	1761
343	922	1759
344	925	1756
345	927	1754
346	930	1751
347	933	1749
348	936	1747
349	939	1744
350	941	1740
351	944	1738
352	946	1735
353	949	1731
354	951	1728
355	954	1727
356	957	1724
357	959	1720
358	961	1715
359	962	1711
360	964	1707
361	966	1702
362	967	1697
363	968	1692
364	970	1688
365	971	1683
366	973	1678
367	974	1673
368	975	1668
369	977	1663
370	978	1658
371	979	1654
372	981	1649
373	982	1643
374	983	1638
375	984	1633
376	985	1628
377	986	1623
378	987	1618
379	989	1614
380	990	1609
381	991	1604
382	993	1600
383	994	1595
384	997	1592
385	999	1589
386	1002	1587
387	1004	1584
388	1007	1581
389	1009	1578
390	1011	1575
391	1014	1572
392	1016	1570
393	1018	1566
394	1020	1563
395	1023	1561
396	1026	1558
397	1028	1555
398	1030	1552
399	1033	1550
400	1035	1547
401	1038	1544
402	1040	1541
403	1042	1538
404	1044	1535
405	1047	1532
406	1049	1529
407	1052	1526
408	1054	1523
409	1057	1521
410	1059	1518
411	1062	1515
412	1064	1513
413	1067	1510
414	1069	1507
415	1072	1505
416	1074	1501
417	1076	1499
418	1078	1495
419	1081	1493
420	1083	1490
421	1086	1487
422	1088	1484
423	1091	1482
424	1093	1479
425	1096	1476
426	1098	1474
427	1100	1471
428	1103	1468
429	1105	1465
430	1108	1463
431	1111	1461
432	1114	1459
433	1116	1456
434	1119	1453
435	1121	1450
436	1123	1447
437	1126	1444
438	1128	1441
439	1130	1438
440	1132	1435
441	1134	1431
442	1136	1428
443	1137	1424
444	1139	1421
445	1141	1417
446	1142	1413
447	1144	1410
448	1146	1406
449	1147	1402
450	1149	1399
451	1151	1395
452	1152	1392
453	1155	1389
454	1157	1386
455	1159	1383
456	1161	1380
457	1163	1377
458	1165	1373
459	1167	1370
460	1169	1367
461	1171	1364
462	1172	1360
463	1174	1356
464	1175	1352
465	1177	1348
466	1178	1345
467	1181	1342
468	1183	1339
469	1184	1335
470	1186	1332
471	1188	1329
472	1191	1327
473	1193	1324
474	1195	1321
475	1197	1318
476	1200	1315
477	1202	1313
478	1204	1310
479	1207	1307
480	1209	1304
481	1211	1301
482	1213	1298
483	1215	1296
484	1218	1293
485	1220	1290
486	1222	1288
487	1224	1285
488	1227	1282
489	1229	1279
490	1231	1277
491	1234	1274
492	1237	1272
493	1239	1269
494	1241	1266
495	1244	1264
496	1246	1261
497	1248	1258
498	1251	1256
499	1253	1253
500	1255	1250
501	1258	1248
502	1260	1245
503	1262	1242
504	1265	1240
505	1268	1238
506	1271	1236
507	1274	1234
508	1276	1231
509	1279	1229
510	1281	1226
511	1283	1223
512	1285	1220
513	1287	1217
514	1289	1214
515	1290	1210
516	1292	1207
517	1294	1204
518	1296	1201
519	1297	1197
520	1300	1195
521	1301	1191
522	1303	1188
523	1304	1185
524	1307	1182
525	1308	1179
526	1310	1175
527	1312	1173
528	1314	1169
529	1316	1167
530	1317	1164
531	1319	1160
532	1320	1157
533	1321	1153
534	1322	1149
535	1323	1146
536	1324	1142
537	1326	1138
538	1327	1135
539	1329	1132
540	1331	1129
541	1333	1127
542	1336	1124
543	1338	1122
544	1341	1119
545	1343	1116
546	1345	1114
547	1347	1111
548	1349	1108
549	1351	1105
550	1352	1102
551	1354	1099
552	1356	1096
553	1359	1094
554	1361	1091
555	1364	1089
556	1366	1086
557	1369	1084
558	1371	1082
559	1374	1079
560	1376	1076
561	1378	1074
562	1381	1072
563	1383	1069
564	1386	1067
565	1388	1065
566	1391	1062
567	1393	1060
568	1396	1057
569	1398	1055
570	1401	1052
571	1403	1050
572	1406	1047
573	1408	1045
574	1410	1042
575	1413	1040
576	1415	1037
577	1418	1035
578	1420	1032
579	1422	1030
580	1426	1028
581	1429	1026
582	1431	1023
583	1433	1021
584	1435	1018
585	1437	1015
586	1439	1012
587	1441	1009
588	1442	1006
589	1443	1003
590	1445	1000
591	1446	997
592	1448	994
593	1449	990
594	1450	987
595	1452	984
596	1453	981
597	1454	977
598	1456	974
599	1458	972
600	1460	969
601	1463	967
602	1465	965
603	1468	962
604	1470	960
605	1473	957
606	1475	955
607	1477	952
608	1480	950
609	1482	947
610	1484	945
611	1486	942
612	1488	939
613	1490	937
614	1492	934
615	1494	931
616	1495	928
617	1497	925
618	1498	922
619	1499	919
620	1501	916
621	1502	913
622	1504	910
623	1506	907
624	1507	904
625	1509	901
626	1510	898
627	1512	895
628	1515	893
629	1517	891
630	1520	889
631	1522	886
632	1524	884
633	1527	881
634	1529	879
635	1532	877
636	1534	874
637	1536	872
638	1539	869
639	1541	867
640	1544	864
641	1546	862
642	1548	859
643	1550	857
644	1553	854
645	1555	852
646	1558	850
647	1560	847
648	1562	845
649	1564	842
650	1567	840
651	1570	837
652	1572	835
653	1574	833
654	1576	830
655	1579	828
656	1582	826
657	1585	823
658	1587	821
659	1590	819
660	1592	816
661	1593	813
662	1595	811
663	1597	808
664	1599	805
665	1600	802
666	1602	799
667	1603	797
668	1605	794
669	1606	791
670	1607	788
671	1609	785
672	1610	782
673	1611	779
674	1612	776
675	1614	773
676	1615	770
677	1616	767
678	1617	764
679	1620	762
680	1621	759
681	1622	756
682	1623	753
683	1624	750
684	1626	747
685	1627	745
686	1629	742
687	1630	739
688	1631	736
689	1632	733
690	1634	730
691	1635	727
692	1636	724
693	1637	722
694	1638	719
695	1639	716
696	1640	713
697	1641	710
698	1643	707
699	1644	704
700	1645	701
701	1646	698
702	1647	696
703	1649	693
704	1651	690
705	1653	688
706	1655	686
707	1658	683
708	1660	681
709	1662	679
710	1664	676
711	1666	673
712	1668	671
713	1670	669
714	1672	666
715	1674	664
716	1677	662
717	1678	659
718	1681	657
719	1683	654
720	1686	652
721	1688	650
722	1691	647
723	1693	645
724	1695	643
725	1698	640
726	1700	638
727	1703	636
728	1705	634
729	1708	631
730	1710	629
731	1713	627
732	1715	624
733	1718	622
734	1720	620
735	1722	618
736	1724	615
737	1726	612
738	1728	610
739	1728	607
740	1731	605
741	1732	602
742	1735	600
743	1739	598
744	1741	596
745	1743	593
746	1744	591
747	1746	588
748	1748	585
749	1749	583
750	1751	580
751	1752	578
752	1754	575
753	1755	572
754	1757	570
755	1758	567
756	1759	564
757	1761	562
758	1762	559
759	1763	556
760	1764	554
761	1765	551
762	1767	548
763	1768	546
764	1769	543
765	1770	540
766	1771	538
767	1772	535
768	1773	532
769	1775	530
770	1776	527
771	1778	525
772	1780	522
773	1781	520
774	1782	517
775	1784	514
776	1785	512
777	1786	509
778	1789	507
779	1791	505
780	1793	502
781	1795	500
782	1798	498
783	1800	496
784	1802	493
785	1805	491
786	1808	489
787	1810	487
788	1812	484
789	1813	482
790	1815	479
791	1817	477
792	1819	475
793	1822	472
794	1824	470
795	1826	468
796	1828	465
797	1830	463
798	1832	461
799	1835	458
800	1837	456
801	1840	454
802	1842	452
803	1844	449
804	1846	447
805	1849	445
806	1851	442
807	1854	440
808	1856	438
809	1859	436
810	1861	433
811	1864	431
812	1866	429
813	1868	427
814	1871	424
815	1873	422
816	1876	420
817	1878	418
818	1881	415
819	1882	413
820	1884	410
821	1887	408
822	1888	406
823	1890	403
824	1892	401
825	1895	399
826	1898	397
827	1900	394
828	1905	393
829	1907	390
830	1909	388
831	1910	385
832	1912	383
833	1913	380
834	1915	378
835	1916	376
836	1917	373
837	1919	371
838	1920	368
839	1921	366
840	1922	363
841	1924	361
842	1925	358
843	1926	356
844	1927	353
845	1928	351
846	1930	348
847	1931	346
848	1933	343
849	1935	341
850	1937	339
851	1939	336
852	1940	334
853	1942	332
854	1945	329
855	1947	327
856	1950	325
857	1952	323
858	1954	320
859	1957	318
860	1959	316
861	1961	314
862	1968	312
863	1970	310
864	1973	307
865	1975	305
866	1978	303
867	1980	301
868	1983	298
869	1985	296
870	1987	294
