iter	Logloss
0	0.6888585326
1	0.6846862632
2	0.6792919234
3	0.6750783057
4	0.6708863375
5	0.6672129932
6	0.6631150273
7	0.6597288596
8	0.6561948961
9	0.6534390659
10	0.648904739
11	0.6460538451
12	0.6428219525
13	0.6386730275
14	0.6349664317
15	0.6318616922
16	0.629373995
17	0.6255944192
18	0.622128826
19	0.618946042
20	0.6152558111
21	0.6120655386
22	0.6092613795
23	0.6055059031
24	0.6027643478
25	0.6004495082
26	0.5974393756
27	0.5944544891
28	0.591416809
29	0.5874954274
30	0.584810748
31	0.5817419337
32	0.5791500164
33	0.5769065489
34	0.5743731987
35	0.5722075708
36	0.5700748128
37	0.5675622564
38	0.5652987223
39	0.5624562185
40	0.5610286854
41	0.5589766267
42	0.5563718227
43	0.5541106192
44	0.5514618453
45	0.5490030623
46	0.5468136665
47	0.5452046069
48	0.5425832164
49	0.540531027
50	0.5376329231
51	0.5358611876
52	0.5332761538
53	0.5312299544
54	0.5293243553
55	0.5269790965
56	0.5250806611
57	0.5230601782
58	0.5208801623
59	0.5191897107
60	0.5175556766
61	0.5155935222
62	0.5139569669
63	0.5121712006
64	0.5101936036
65	0.5088198836
66	0.5071805516
67	0.5052031542
68	0.5043099619
69	0.5030348232
70	0.5011703596
71	0.4996699408
72	0.4981312563
73	0.4969542653
74	0.495397154
75	0.4934563894
76	0.4923695908
77	0.4910841588
78	0.4896294014
79	0.4878756131
80	0.4868841157
81	0.4851758595
82	0.4833700335
83	0.4819927831
84	0.4804079545
85	0.4792632577
86	0.4778944136
87	0.476450696
88	0.4751201034
89	0.4739451091
90	0.4728000676
91	0.4715405554
92	0.4701202904
93	0.4685812967
94	0.4671679312
95	0.4659870051
96	0.4654540415
97	0.4640218379
98	0.4629688962
99	0.4618274926
100	0.460569504
101	0.4593871757
102	0.4582482335
103	0.4573145249
104	0.4559633077
105	0.4548468382
106	0.4536534213
107	0.4525118606
108	0.4517528189
109	0.4507996505
110	0.4497924495
111	0.4487121487
112	0.4476475278
113	0.4467278853
114	0.4460458441
115	0.4445252387
116	0.4435129568
117	0.4424315329
118	0.4414328613
119	0.4407769407
120	0.4397941761
121	0.4386961674
122	0.4376978753
123	0.436840862
124	0.4359890091
125	0.4351087073
126	0.4343927414
127	0.4334454653
128	0.4325417726
129	0.4320541237
130	0.43107377
131	0.4300712957
132	0.4291850389
133	0.4281080572
134	0.4275013822
135	0.426766515
136	0.4259796187
137	0.4252888275
138	0.4241755592
139	0.4234111039
140	0.4224606144
141	0.4219137173
142	0.4214406307
143	0.4207463833
144	0.4200157409
145	0.4191477836
146	0.4185795177
147	0.4178246214
148	0.4170293521
149	0.4164870765
150	0.4158945639
151	0.4149639844
152	0.4143918647
153	0.4136715512
154	0.4129463717
155	0.4121998042
156	0.4113300217
157	0.4106052809
158	0.4100573585
159	0.4094353584
160	0.4090022814
161	0.4084302722
162	0.4079588532
163	0.4073111855
164	0.4065164253
165	0.4058059512
166	0.4051477289
167	0.4042604665
168	0.4035832618
169	0.4030664664
170	0.4024184122
171	0.4018092876
172	0.4011486851
173	0.4004185662
174	0.3998721776
175	0.3991317868
176	0.3986544648
177	0.3979270953
178	0.3972117828
179	0.3967087415
180	0.3957603783
181	0.3952112749
182	0.3948068964
183	0.3944295309
184	0.3941625205
185	0.393510441
186	0.3926919683
187	0.3919508775
188	0.3915113793
189	0.3909862876
190	0.3905702092
191	0.3901831377
192	0.389521478
193	0.3888308647
194	0.3886030117
195	0.3878920542
196	0.3872122505
197	0.3866422067
198	0.3862318174
199	0.3857235102
200	0.3853002684
201	0.3844950198
202	0.383906578
203	0.3833814374
204	0.382865918
205	0.3822949931
206	0.3817109952
207	0.381197128
208	0.380736994
209	0.3797994044
210	0.3792151466
211	0.3785871664
212	0.3782806282
213	0.3775586447
214	0.3769361143
215	0.3763686917
216	0.3759102432
217	0.3751782378
218	0.3748540347
219	0.374524474
220	0.3739264513
221	0.3735889102
222	0.3731619439
223	0.3724687759
224	0.3719566347
225	0.3716256607
226	0.3713767578
227	0.3710660973
228	0.370544729
229	0.369781179
230	0.3693135906
231	0.3687774351
232	0.3682669942
233	0.3677832656
234	0.367111493
235	0.3665421862
236	0.3662313669
237	0.3656710584
238	0.36525967
239	0.3648063053
240	0.3642711534
241	0.3636899553
242	0.3632177872
243	0.362644514
244	0.3620600287
245	0.3615668775
246	0.361264269
247	0.3608335554
248	0.3605185599
249	0.3600937076
250	0.3597755874
251	0.3594080785
252	0.3590898207
253	0.3584943592
254	0.3580951568
255	0.3577371839
256	0.3571378894
257	0.3568633942
258	0.3566143548
259	0.3561514306
260	0.3558253267
261	0.3555091122
262	0.3550751225
263	0.3544606869
264	0.3541450665
265	0.3539489516
266	0.3537285009
267	0.3533568022
268	0.3529355549
269	0.3525178961
270	0.352253275
271	0.3518903081
272	0.3516315075
273	0.3510607031
274	0.350761925
275	0.3505510232
276	0.3503149443
277	0.350162308
278	0.3495503731
279	0.349318542
280	0.3489915045
281	0.3487976902
282	0.3485578437
283	0.3482512873
284	0.347738248
285	0.3474132
286	0.3471530795
287	0.3468250205
288	0.3464873485
289	0.3462170203
290	0.3459677792
291	0.3454918732
292	0.3451313702
293	0.3448716552
294	0.3446360535
295	0.3441773435
296	0.3438128389
297	0.343607987
298	0.343328311
299	0.3431244902
300	0.3426952054
301	0.3420373512
302	0.3416534566
303	0.3413670842
304	0.3410488754
305	0.3407425159
306	0.3405640596
307	0.3402815906
308	0.3400754532
309	0.3398464976
310	0.3395024165
311	0.3392422842
312	0.3388827918
313	0.3385661162
314	0.3382133887
315	0.3378672868
316	0.3375310116
317	0.3373459713
318	0.3372331642
319	0.3369612568
320	0.33675078
321	0.3365437732
322	0.3361131888
323	0.3358633378
324	0.33562881
325	0.335419071
326	0.3352233823
327	0.33502485
328	0.3347607943
329	0.3345962051
330	0.3344444119
331	0.3341107995
332	0.3339309259
333	0.3336500451
334	0.3334093908
335	0.3331052126
336	0.3324472751
337	0.3322294475
338	0.3320847274
339	0.3318358762
340	0.3314796105
341	0.3311858104
342	0.3309853277
343	0.3304403232
344	0.3302649909
345	0.3299982511
346	0.3298054446
347	0.3293697816
348	0.3291060581
349	0.3286022108
350	0.3282748105
351	0.3280368155
352	0.3277740309
353	0.3276245489
354	0.3272642184
355	0.3269135297
356	0.3267164086
357	0.3261577349
358	0.3258079937
359	0.3254453514
360	0.3251126775
361	0.3247891697
362	0.3245282662
363	0.3243479027
364	0.3238944162
365	0.3235471315
366	0.3231741583
367	0.3228842407
368	0.3226034258
369	0.3223985013
370	0.3222553012
371	0.3219032476
372	0.3215966355
373	0.3213124651
374	0.3210566488
375	0.3208524881
376	0.3206603824
377	0.3204336433
378	0.3202420539
379	0.3201015664
380	0.3197147659
381	0.3194761626
382	0.3191772556
383	0.3188515854
384	0.3186099387
385	0.3182826972
386	0.3180576872
387	0.3175931133
388	0.3173512517
389	0.3171993398
390	0.3169941194
391	0.3165641665
392	0.3164326267
393	0.3160188199
394	0.3158423162
395	0.3154314693
396	0.315100516
397	0.3147229887
398	0.3145433893
399	0.3140455726
400	0.3139039314
401	0.3136469154
402	0.3134062909
403	0.3130795231
404	0.312878565
405	0.3126704735
406	0.3123662513
407	0.3121995005
408	0.3119417645
409	0.3114504403
410	0.3112472226
411	0.3109752247
412	0.3106144387
413	0.3101141434
414	0.3098137418
415	0.3096050351
416	0.3093500098
417	0.3090670114
418	0.3087581773
419	0.308491081
420	0.3082806873
421	0.3080946323
422	0.3079188858
423	0.307594705
424	0.307429805
425	0.307202657
426	0.3069567969
427	0.3066513965
428	0.3063685489
429	0.3062510903
430	0.3060010983
431	0.3056851658
432	0.3053542389
433	0.3051245397
434	0.3048423037
435	0.3046226304
436	0.3043828534
437	0.3041108206
438	0.3038994956
439	0.3036545909
440	0.3035030049
441	0.3032052973
442	0.3030007792
443	0.3028085997
444	0.3025448985
445	0.3022193261
446	0.3018229057
447	0.3014935725
448	0.3013226643
449	0.3011703585
450	0.3008262318
451	0.3004370801
452	0.3002206048
453	0.3000142447
454	0.2997636459
455	0.2994461448
456	0.299285223
457	0.2990345091
458	0.2987199591
459	0.2983605327
460	0.2980448801
461	0.2978031148
462	0.2975933409
463	0.2974117089
464	0.2971672125
465	0.2970012977
466	0.2967541687
467	0.2966154379
468	0.296314878
469	0.295937194
470	0.2958691797
471	0.2954679451
472	0.2951974991
473	0.2951061374
474	0.2948942734
475	0.2946469885
476	0.2945131697
477	0.2944122923
478	0.2942061799
479	0.2939879802
480	0.2938529157
481	0.2935856114
482	0.2932221055
483	0.2928755736
484	0.2925393571
485	0.2923627353
486	0.2921672144
487	0.2919127844
488	0.291854976
489	0.2916043762
490	0.2912641529
491	0.2911184524
492	0.2910457609
493	0.2907245945
494	0.290471846
495	0.2902586801
496	0.2900224159
497	0.2897409864
498	0.2895727339
499	0.2894775437
500	0.2893336334
501	0.2890745124
502	0.2889335664
503	0.2888151995
504	0.2886988876
505	0.2885105304
506	0.2882475372
507	0.28808699
508	0.2877293975
509	0.2876499435
510	0.2874447479
511	0.287297801
512	0.2871152689
513	0.2869886484
514	0.2867929282
515	0.2865152658
516	0.2863779655
517	0.2861277923
518	0.2858122717
519	0.2856453531
520	0.2855080581
521	0.2854616423
522	0.2851931815
523	0.2849848013
524	0.2848082719
525	0.2846694203
526	0.2844390472
527	0.2841212529
528	0.284024392
529	0.2838619192
530	0.2836970439
531	0.2834544936
532	0.2833859164
533	0.2831652184
534	0.2828996594
535	0.2825256668
536	0.2823901291
537	0.2821116764
538	0.2820301197
539	0.281780658
540	0.2815098062
541	0.2813154922
542	0.2810402475
543	0.2808008202
544	0.2805494923
545	0.2801832282
546	0.2799796578
547	0.2797440999
548	0.2795301819
549	0.2792834442
550	0.2790848824
551	0.2787361753
552	0.2784001276
553	0.2781532667
554	0.2779213073
555	0.2775299225
556	0.2774073931
557	0.2773002413
558	0.2770652337
559	0.2768414509
560	0.2766906616
561	0.2764449621
562	0.2763334844
563	0.2760463394
564	0.2759248246
565	0.2757842372
566	0.275399873
567	0.2752844035
568	0.2751358414
569	0.2749321197
570	0.274802255
571	0.2745128429
572	0.2743430914
573	0.274074219
574	0.2737881529
575	0.273378077
576	0.2732085806
577	0.2729545958
578	0.272746023
579	0.2724287515
580	0.2723043443
581	0.272186444
582	0.272028535
583	0.2718471321
584	0.2716115253
585	0.2714597674
586	0.2712465454
587	0.2709573062
588	0.2707699855
589	0.2705899314
590	0.2700863737
591	0.2700107597
592	0.2697147131
593	0.2695628364
594	0.2693653171
595	0.2691623362
596	0.2690123643
597	0.2688757144
598	0.2687583088
599	0.2686429285
600	0.2685095209
601	0.2682916702
602	0.2681784619
603	0.2678594787
604	0.2676677838
605	0.2674205805
606	0.2672955336
607	0.2671156158
608	0.2668688072
609	0.2665242856
610	0.2664047331
611	0.2661995594
612	0.265914106
613	0.2657532582
614	0.2655749291
615	0.2651860515
616	0.2649920738
617	0.2648256905
618	0.2646122461
619	0.2643266182
620	0.2641312549
621	0.2640101095
622	0.2638749105
623	0.2637599395
624	0.2636526587
625	0.2635697299
626	0.2633683213
627	0.2629741513
628	0.2626569837
629	0.2625595625
630	0.2623677752
631	0.2622513639
632	0.2620595268
633	0.2618666841
634	0.2617146583
635	0.2613753138
636	0.2611810187
637	0.2610189714
638	0.2607937881
639	0.2605367442
640	0.2603476429
641	0.2602364057
642	0.2599758119
643	0.2599391416
644	0.2597906203
645	0.259454218
646	0.2592502631
647	0.2591395669
648	0.2589685161
649	0.2587045576
650	0.2583507447
651	0.2581864369
652	0.2580261689
653	0.2578700093
654	0.2577561565
655	0.2574889941
656	0.2572625879
657	0.2570221548
658	0.2568217809
659	0.2565790242
660	0.2563967956
661	0.2562705953
662	0.2558756411
663	0.2557342281
664	0.2553746697
665	0.2552596825
666	0.2551401116
667	0.2549344263
668	0.2548067624
669	0.2545561442
670	0.2543307636
671	0.2541831346
672	0.2539209961
673	0.2537105998
674	0.2536646101
675	0.2534630073
676	0.2532788586
677	0.2532272882
678	0.2531386817
679	0.2530760473
680	0.2528997209
681	0.252793419
682	0.2524783926
683	0.2523540413
684	0.252184053
685	0.2520183832
686	0.2517476506
687	0.2515901322
688	0.2514666034
